ascii_key,row_number,string
"o",1,"  _____  "
"o",2," / ___ \ "
"o",3,"| |   | |"
"o",4,"| |   | |"
"o",5,"| |___| |"
"o",6," \_____/ "
"p",1," ______ "
"p",2,"|  __  \"
"p",3,"| |__| |"
"p",4,"|  ____/"
"p",5,"| |     "
"p",6,"|_|     "
"q",1," ______ "
"q",2,"/  __  \"
"q",3,"| |  | |"
"q",4,"| | _| |"
"q",5,"| |_\  |"
"q",6,"\____\_\"
"r",1," ______ "
"r",2,"|  __  \"
"r",3,"| |  \ |"
"r",4,"| |__/ /"
"r",5,"|  __ \ "
"r",6,"|_|  \_\"
"s",1," ______ "
"s",2,"/  ____)"
"s",3,"| (____ "
"s",4,"\____  \"
"s",5," ____) |"
"s",6,"(______/"
"t",1," _______ "
"t",2,"|__   __|"
"t",3,"   | |   "
"t",4,"   | |   "
"t",5,"   | |   "
"t",6,"   |_|   "
"u",1," _    _ "
"u",2,"| |  | |"
"u",3,"| |  | |"
"u",4,"| |  | |"
"u",5,"| |__| |"
"u",6,"|______|"
"v",1," _    _ "
"v",2,"| |  | |"
"v",3,"| |  | |"
"v",4,"\ \  / /"
"v",5," \ \/ / "
"v",6,"  \__/  "
"w",1," _    _ "
"w",2,"| |  | |"
"w",3,"| |  | |"
"w",4,"| |/\| |"
"w",5,"| /  \ |"
"w",6,"|__/\__|"
"x",1," _    _ "
"x",2,"\ \  / /"
"x",3," \ \/ / "
"x",4,"  |  |  "
"x",5," / /\ \ "
"x",6,"/_/  \_\"
"y",1," _     _ "
"y",2,"\ \   / /"
"y",3," \ \ / / "
"y",4,"  \   /  "
"y",5,"   | |   "
"y",6,"   |_|   "
"z",1," _______"
"z",2,"/____  /"
"z",3,"   /  / "
"z",4,"  /  /  "
"z",5," /  /__ "
"z",6,"/______/"
